date,year,iso_week,week_of_year,ccfi,source_image,source_row,ocr_text,status,review_note
2024-11-01,2024,2024-W44,44,1367.54,微信图片_20260524162049_1110_1.jpg,1,"20241101 1,367.54",reviewed,
2024-11-08,2024,2024-W45,45,1388.22,微信图片_20260524162051_1111_1.jpg,13,"20241108 1,388.22",reviewed,
2024-11-15,2024,2024-W46,46,1438.97,微信图片_20260524162051_1111_1.jpg,12,"20241115 1,438.97",reviewed,
2024-11-22,2024,2024-W47,47,1467.91,微信图片_20260524162051_1111_1.jpg,11,"20241122 1,467.91",reviewed,
2024-11-29,2024,2024-W48,48,1474.00,微信图片_20260524162051_1111_1.jpg,10,"20241129 1,474.00",reviewed,
2024-12-06,2024,2024-W49,49,1465.16,微信图片_20260524162051_1111_1.jpg,9,"20241206 1,465.16",reviewed,
2024-12-13,2024,2024-W50,50,1486.06,微信图片_20260524162051_1111_1.jpg,8,"20241213 1,486.06",reviewed,
2024-12-20,2024,2024-W51,51,1491.29,微信图片_20260524162051_1111_1.jpg,7,"20241220 1,491.29",reviewed,
2024-12-27,2024,2024-W52,52,1515.07,微信图片_20260524162051_1111_1.jpg,6,"20241227 1,515.07",reviewed,
2025-01-03,2025,2025-W01,1,1547.74,微信图片_20260524162051_1111_1.jpg,5,"20250103 1,547.74",reviewed,
2025-01-10,2025,2025-W02,2,1560.87,微信图片_20260524162051_1111_1.jpg,4,"20250110 1,560.87",reviewed,
2025-01-17,2025,2025-W03,3,1557.76,微信图片_20260524162051_1111_1.jpg,3,"20250117 1,557.76",reviewed,
2025-01-24,2025,2025-W04,4,1505.10,微信图片_20260524162051_1111_1.jpg,2,"20250124 1,505.10",reviewed,
2025-02-07,2025,2025-W06,6,1415.03,微信图片_20260524162051_1111_1.jpg,1,"20250207 1,415.03",reviewed,
2025-02-14,2025,2025-W07,7,1387.16,微信图片_20260524162052_1112_1.jpg,13,"20250214 1,387.16",reviewed,
2025-02-21,2025,2025-W08,8,1318.71,微信图片_20260524162052_1112_1.jpg,12,"20250221 1,318.71",reviewed,
2025-02-28,2025,2025-W09,9,1250.65,微信图片_20260524162052_1112_1.jpg,11,"20250228 1,250.65",reviewed,
2025-03-07,2025,2025-W10,10,1211.15,微信图片_20260524162052_1112_1.jpg,10,"20250307 1,211.15",reviewed,
2025-03-14,2025,2025-W11,11,1191.69,微信图片_20260524162052_1112_1.jpg,9,"20250314 1,191.69",reviewed,
2025-03-21,2025,2025-W12,12,1147.76,微信图片_20260524162052_1112_1.jpg,8,"20250321 1,147.76",reviewed,
2025-03-28,2025,2025-W13,13,1111.71,微信图片_20260524162052_1112_1.jpg,7,"20250328 1,111.71",reviewed,
2025-04-03,2025,2025-W14,14,1102.71,微信图片_20260524162052_1112_1.jpg,6,"20250403 1,102.71",reviewed,
2025-04-11,2025,2025-W15,15,1107.28,微信图片_20260524162052_1112_1.jpg,5,"20250411 1,107.28",reviewed,
2025-04-18,2025,2025-W16,16,1110.94,微信图片_20260524162052_1112_1.jpg,4,"20250418 1,110.94",reviewed,
2025-04-25,2025,2025-W17,17,1122.40,微信图片_20260524162052_1112_1.jpg,3,"20250425 1,122.40",reviewed,
2025-04-30,2025,2025-W18,18,1121.08,微信图片_20260524162052_1112_1.jpg,2,"20250430 1,121.08",reviewed,
2025-05-09,2025,2025-W19,19,1106.38,微信图片_20260524162052_1112_1.jpg,1,"20250509 1,106.38",reviewed,
2025-05-16,2025,2025-W20,20,1104.88,微信图片_20260524162053_1113_1.jpg,13,"20250516 1,104.88",reviewed,
2025-05-23,2025,2025-W21,21,1107.40,微信图片_20260524162053_1113_1.jpg,12,"20250523 1,107.40",reviewed,
2025-05-30,2025,2025-W22,22,1117.61,微信图片_20260524162053_1113_1.jpg,11,"20250530 1,117.61",reviewed,
2025-06-06,2025,2025-W23,23,1154.98,微信图片_20260524162053_1113_1.jpg,10,"20250606 1,154.98",reviewed,
2025-06-13,2025,2025-W24,24,1243.05,微信图片_20260524162053_1113_1.jpg,9,"20250613 1,243.05",reviewed,
2025-06-20,2025,2025-W25,25,1342.46,微信图片_20260524162053_1113_1.jpg,8,"20250620 1,342.46",reviewed,
